"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2692","get started navigates to installation","webkit","2026-06-02","passed","2026-06-02","Playwright docs home","ui/home.spec.ts","",""
"","346","can fetch a sample post","firefox","2026-06-02","passed","2026-06-02","JSONPlaceholder API","api/json-placeholder.spec.ts","",""
"","929","get started navigates to installation","firefox","2026-06-02","passed","2026-06-02","Playwright docs home","ui/home.spec.ts","",""
"","74","health check returns success","chromium","2026-06-02","passed","2026-06-02","API smoke","api/health.spec.ts","",""
"","59","health check returns success","webkit","2026-06-02","passed","2026-06-02","API smoke","api/health.spec.ts","",""
"","405","get started navigates to installation","chromium","2026-06-02","passed","2026-06-02","Playwright docs home","ui/home.spec.ts","",""
"","328","can fetch a sample post","webkit","2026-06-02","passed","2026-06-02","JSONPlaceholder API","api/json-placeholder.spec.ts","",""
"","1224","has title","firefox","2026-06-02","passed","2026-06-02","Playwright docs home","ui/home.spec.ts","",""
"","3774","has title","webkit","2026-06-02","passed","2026-06-02","Playwright docs home","ui/home.spec.ts","",""
"","748","has title","chromium","2026-06-02","passed","2026-06-02","Playwright docs home","ui/home.spec.ts","",""
"","75","health check returns success","firefox","2026-06-02","passed","2026-06-02","API smoke","api/health.spec.ts","",""
"","348","can fetch a sample post","chromium","2026-06-02","passed","2026-06-02","JSONPlaceholder API","api/json-placeholder.spec.ts","",""
